listings code,lookup name,index name
UPGS,UP GLOBAL SOURCING HOLDING,UP GLOBAL SOURCING HOLDINGS PLC
UPL,UPLAND RESOURCES LIMITED,UPLAND RESOURCES LIMITED
UEX,URBAN EXPOSURE,URBAN&CIVIC PLC
SHED,URBAN LOGISTICS REIT,URBAN EXPOSURE PLC
UANC,URBANANDCIVIC,URBAN LOGISTICS REIT PLC
URU,URU METALS LIMITED,URU METALS LIMITED
USF,US SOLAR FUND,US SOLAR FUND PLC
USFP,US SOLAR FUND,US SOLAR FUND PLC
UEM,UTILICO EMERGING MARKETS TRUST,UTILICO EMERGING MARKETS TRUST PLC
EGY,"VAALCO ENERGY, INCOME","VAALCO ENERGY, INC."
VLU,VALEURA ENERGY INC,VALEURA ENERGY INC
VAL,VALIRX,VALIRX PLC
VIN,VALUE AND INCOME TRUST,VALUE AND INCOME TRUST PLC
VANL,VAN ELLE HOLDING,VAN ELLE HOLDINGS PLC
VARE,VARIOUS EATERIES,VARIOUS EATERIES PLC
VAST,VAST RESOURCES,VAST RESOURCES PLC
VEC,VECTURA GROUP,VECTURA GROUP PLC
VELA,VELA TECHNOLOGIES,VELA TECHNOLOGIES PLC
VEL,VELOCITY COMPOSITES,VELOCITY COMPOSITES PLC
VLS,VELOCYS,VELOCYS PLC
VLG,VENTURE LIFE GROUP,VENTURE LIFE GROUP PLC
VNC,VENTUS 2 VCT,VENTUS 2 VCT PLC
VND,VENTUS 2 VCT,VENTUS 2 VCT PLC
VEN2,VENTUS 2 VCT,VENTUS 2 VCT PLC
VENC,VENTUS VCT,VENTUS VCT PLC
VEND,VENTUS VCT,VENTUS VCT PLC
VEN,VENTUS VCT,VENTUS VCT PLC
VDTK,VERDITEK,VERDITEK PLC
VRCI,VERICI DX,#N/A
VRS,VERSARIEN,VERSARIEN PLC
VCBC,VERTU CAPITAL LIMITED,VERTU CAPITAL LIMITED
VTU,VERTU MOTORS,VERTU MOTORS PLC
VSVS,VESUVIUS,VESUVIUS PLC
VNET,VIANET GROUP,VIANET GROUP PLC
VOG,VICTORIA,VICTORIA OIL & GAS PLC
VCP,VICTORIA OIL AND GAS,VICTORIA PLC
VCT,VICTREX,VICTREX PLC
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMITED,VIETNAM ENTERPRISE INVESTMENTS LIMITED
VNH,VIETNAM HOLDING LIMITED,VIETNAM HOLDING LIMITED
VOF,VINACAPITAL VIETNAM OPPORTUNITY FUND LIMITED,VINACAPITAL VIETNAM OPPORTUNITY FUND LD
VMUK,VIRGIN MONEY UK,VIRGIN MONEY UK PLC
VTY,VISTRY GROUP,VISTRY GROUP PLC
VVO,VIVO ENERGY,VIVO ENERGY PLC
VOD,VODAFONE GROUP,VODAFONE GROUP PLC
VLX,VOLEX,VOLEX PLC
VGAS,VOLGA GAS,VOLGA GAS PLC
VTA,VOLTA FINANCE LIMITED,VOLTA FINANCE LIMITED
VTAS,VOLTA FINANCE LIMITED,VOLTA FINANCE LIMITED
FAN,VOLUTION GROUP,VOLUTION GROUP PLC
VLE,VOLVERE,VOLVERE PLC
VP.,VP,VPC SPECIALTY LENDING INVESTMENTS PLC
VSL,VPC SPECIALTY LENDING INVESTMENTS,VP PLC
VRE,VR EDUCATION HOLDING,VR EDUCATION HOLDINGS PLC
WRES,W RESOURCES,WALKER CRIPS GROUP PLC
WHI,W.H. IRELAND GROUP,WALKER GREENBANK PLC
WCW,WALKER CRIPS GROUP,WALSIN LIHWA CORPORATION
WGB,WALKER GREENBANK,WAMEJA LIMITED
61HG,WALSIN LIHWA CORPORATION,WANDISCO PLC
WALS,WALSIN LIHWA CORPORATION,WANDISCO PLC
WJA,WAMEJA LIMITED,WAREHOUSE REIT PLC
WAND,WANDISCO,WARPAINT LONDON PLC
WHR,WAREHOUSE REIT,WATCHES OF SWITZERLAND GROUP PLC
W7L,WARPAINT LONDON,WATCHSTONE GROUP PLC
WOSG,WATCHES OF SWITZERLAND GROUP,WATER INTELLIGENCE PLC
WTG,WATCHSTONE GROUP,WATKIN JONES PLC
WATR,WATER INTELLIGENCE,WEBIS HOLDINGS PLC
WJG,WATKIN JONES,WEIR GROUP PLC
WEB,WEBIS HOLDING,WEISS KOREA OPPORTUNITY FUND LTD.
WEIR,WEIR GROUP,WENTWORTH RESOURCES PLC
WKOF,WEISS KOREA OPPORTUNITY FUND LIMITED,WESTMINSTER GROUP PLC
WEN,WENTWORTH RESOURCES,WESTMOUNT ENERGY LIMITED
WSG,WESTMINSTER GROUP,WETHERSPOON ( J.D.) PLC
WTE,WESTMOUNT ENERGY LIMITED,WEY EDUCATION PLC
JDW,WETHERSPOON (J.D.),W.H. IRELAND GROUP PLC
WEY,WEY EDUCATION,WHITBREAD PLC
SMWH,WH SMITH,WH SMITH PLC
WPM,WHEATON PRECIOUS METALS CORPORATION,#N/A
WTB,WHITBREAD,WILLIAM HILL PLC
WMH,WILLIAM HILL,WILMCOTE HOLDINGS PLC
WCH,WILMCOTE HOLDING,WILMINGTON PLC
WIL,WILMINGTON,WINCANTON PLC
WIN,WINCANTON,WINDAR PHOTONICS PLC
WPHO,WINDAR PHOTONICS,"WISDOM MARINE LINES CO., LIMITED"
WML,WISDOM MARINE LINES COMPANY,WISHBONE GOLD PLC
WSBN,WISHBONE GOLD,WITAN INVESTMENT TRUST PLC
86IP,WITAN INVESTMENT TRUST,WITAN PACIFIC INVESTMENT TRUST PLC
87IP,WITAN INVESTMENT TRUST,WITAN PACIFIC INVESTMENT TRUST PLC
WTAN,WITAN INVESTMENT TRUST,WITAN PACIFIC INVESTMENT TRUST PLC
WIZZ,WIZZ AIR HOLDING,WOODBOIS LIMITED
WG.,WOOD GROUP (JOHN),WOOD GROUP (JOHN) PLC
WBI,WOODBOIS LIMITED,WORK SERVICE S.A.
WSE,WORK SERVICE S.A.,WORKSPACE GROUP PLC
WKP,WORKSPACE GROUP,WORLDLINK GROUP PLC
WGP,WORLDLINK GROUP,WORLDSEC LD
WSL,WORLDSEC LIMITED,WORLDWIDE HEALTHCARE TRUST PLC
WWH,WORLDWIDE HEALTHCARE TRUST,WORSLEY INVESTORS LIMITED
WINV,WORSLEY INVESTMENTSESTORS LIMITED,WORTHINGTON GROUP PLC
WRN,WORTHINGTON GROUP,WPP PLC
WPP,WPP,W RESOURCES PLC
WYN,WYNNSTAY GROUP,WYNNSTAY GROUP PLC
WSP,WYNNSTAY PROPERTIES,WYNNSTAY PROPERTIES PLC
FIVE,X5 RETAIL GROUP N.V,X5 RETAIL GROUP N.V
89VS,X5 RETAIL GROUP N.V,X5 RETAIL GROUP N.V
XAR,XAAR,XAAR PLC
XSG,XEROS TECHNOLOGY GROUP,XEROS TECHNOLOGY GROUP PLC
XLM,XLMEDIA,XLMEDIA PLC
XPP,XP POWER LIMITED,XPEDIATOR PLC
XPD,XPEDIATOR,XPLORER PLC
XPL,XPLORER,XP POWER LIMITED
XPS,XPS PENSIONS GROUP,XPS PENSIONS GROUP PLC
XTR,XTRACT RESOURCES,XTRACT RESOURCES PLC
AUY,YAMANA GOLD INCOME COM SHS NPV (CDI),#N/A
YCA,YELLOW CAKE,YELLOW CAKE PLC
YEW,YEW GROVE REIT,YEW GROVE REIT PLC
YOU,YOUGOV,YOUGOV PLC
YNGA,YOUNG AND CO'S BREWERY,YOUNG & CO'S BREWERY PLC
YNGN,YOUNG AND CO'S BREWERY,YOUNG & CO'S BREWERY PLC
YGEN,YOURGENE HEALTH,YOURGENE HEALTH PLC
YU.,YU GROUP,YU GROUP PLC
ZAIM,ZAIM CREDIT SYSTEMS,ZAIM CREDIT SYSTEMS PLC
ZAM,ZAMBEEF PRODUCTS,ZAMBEEF PRODUCTS PLC
ZIOC,ZANAGA IRON ORE COMPANY,ZANAGA IRON ORE COMPANY LIMITED
ZCC,ZCCM INVESTMENTS HOLDING,ZCCM INVESTMENTS HOLDINGS PLC
ZEG,ZEGONA COMMUNICATIONS,ZEGONA COMMUNICATIONS PLC
ZENB,ZENITH BANK,ZENITH BANK PLC
ZEN,ZENITH ENERGY LIMITED,ZENITH ENERGY LTD.
ZPHR,ZEPHYR ENERGY,ZEPHYR ENERGY PLC
ZHEH,ZHEJIANG EXPRESSWAY CO,ZHEJIANG EXPRESSWAY CO
ZIN,ZINCOME MEDIA GROUP,ZINC MEDIA GROUP PLC
ZNWD,ZINNWALD LITHIUM,#N/A
ZOE,ZOETIC INTERNATIONAL,ZOETIC INTERNATIONAL PLC
ZOL,ZOLTAV RESOURCES INC,ZOLTAV RESOURCES INC
ZOO,ZOO DIGITAL GROUP,ZOO DIGITAL GROUP PLC
ZTF,ZOTEFOAMS,ZOTEFOAMS PLC
ZYT,ZYTRONIC,ZYTRONIC PLC
