listings code,lookup name,index name
SEE,SEEING MACHINES LIMITED,SEGRO PLC
SGRO,SEGRO,SENECA GLOBAL INCOME & GROWTH TRUST PLC
SIGT,SENECA GLOBAL INCOME AND GROWTH TRUST,SENECA GROWTH CAPITAL VCT PLC
SVCT,SENECA GROWTH CAPITAL VCT,SENIOR PLC
HYG,SENECA GROWTH CAPITAL VCT,SENIOR PLC
SNR,SENIOR,SENSYNE HEALTH PLC
SENS,SENSYNE HEALTH,SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC
SEPL,SEPLAT PETROLEUM DEVELOPMENT COMPANY,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,SERABI GOLD PLC
SRB,SERABI GOLD,SERCO GROUP PLC
SRP,SERCO GROUP,SERICA ENERGY PLC
SQZ,SERICA ENERGY,SERINUS ENERGY PLC
SENX,SERINUS ENERGY,SEVERFIELD PLC
SFR,SEVERFIELD,SEVERN TRENT PLC
SVT,SEVERN TRENT,SHAFTESBURY PLC
SHB,SHAFTESBURY,SHANTA GOLD LIMITED
SHG,SHANTA GOLD LIMITED,SHEARWATER GROUP PLC
SWG,SHEARWATER GROUP,SHEFA GEMS LTD
SEFA,SHEFA GEMS LIMITED,SHERBORNE INVESTORS (GUERNSEY) B LIMITED
SIGB,SHERBORNE INVESTMENTSESTORS (GUERNSEY) B LIMITED,SHERBORNE INVESTORS (GUERNSEY) C LIMITED
SIGC,SHERBORNE INVESTMENTSESTORS (GUERNSEY) C LIMITED,SHIELD THERAPEUTICS PLC
STX,SHIELD THERAPEUTICS,SHIRES INCOME PLC
SHRS,SHIRES INCOME,SHOE ZONE PLC
SHOE,SHOE ZONE,SIGMA CAPITAL GROUP PLC
SHI,SIG,SIGMAROC PLC
SGM,SIGMA CAPITAL GROUP,SIGNATURE AVIATION PLC
SRC,SIGMAROC,SIG PLC
SIG,SIGNATURE AVIATION,SILENCE THERAPEUTICS PLC
SLN,SILENCE THERAPEUTICS,SIMEC ATLANTIS ENERGY LIMITED
SAE,SIMEC ATLANTIS ENERGY LIMITED,SIMIGON LTD.
SIM,SIMIGON LIMITED,SIRIUS REAL ESTATE LD
SRE,SIRIUS REAL ESTATE LIMITED,SISTEMA PJSFC
SSA,SISTEMA PJSFC,SKINBIOTHERAPEUTICS PLC
SSAA,SISTEMA PJSFC,SKINBIOTHERAPEUTICS PLC
SKMD,SK TELECOM CO LIMITED,SK TELECOM CO LD
SBTX,SKINBIOTHERAPEUTICS,SLINGSBY (H.C.) PLC
SLNG,SLINGSBY (H.COMPANIES ),SMART (J.) & CO. (CONTRACTORS) PLC
SMS,SMART METERING SYSTEMS,SMARTSPACE SOFTWARE PLC
SMJ,SMART (J.) AND CO (CONTRACTORS),SMART METERING SYSTEMS PLC
SMRT,SMARTSPACE SOFTWARE,SME CREDIT REALISATION FUND LIMITED
SCRF,SME CREDIT REALISATION FUND LIMITED,SMITH (DS) PLC
